code,where,scale
2809,Norway,regional
2809,Sweden,regional
2809,Finland,regional
2809,Ireland,regional
2809,United Kingdom,regional
2809,Denmark,regional
2809,Netherlands,regional
2809,Romania,regional
2809,Slovakia,regional
2819,Australia,regional
2836,Brazil,regional
2839,Australia,regional
2851,France,regional
2854,The Bahamas,regional
2856,Canada,regional
2860,Canada,regional
2860,Canada,regional
2871,France,regional
2875,Venezuela,regional
2885,Netherlands,regional
2885,Germany,regional
2885,Poland,regional
2888,Guyana,regional
2889,United Kingdom,regional
2897,Sweden,regional
2910,France,regional
2920,Cuba,regional
2920,Dominican Republic,regional
2920,Haiti,regional
2920,Jamaica,regional
2920,Puerto Rico,regional
2938,Arctic Ocean,regional
2939,Europe,regional
2946,France,regional
2948,Namibia,regional
2974,Spain,regional
2977,Portugal,regional
2978,France,regional
2979,Portugal,regional
2980,New Zealand,regional
3017,Canada,regional
3019,Germany,regional
3019,Germany,regional
3024,Australia,regional
3028,Netherlands,regional
3035,Celtic Sea,regional
3065,Finland,regional
3070,Italy,regional
3077,Spain,regional
3082,Canada,regional
3089,Australia,regional
3095,Spain,regional
3098,Brazil,regional
3101,Switzerland,regional
3106,France,regional
3110,New Caledonia,regional
3121,Malaysia,regional
3125,Malaysia,regional
3129,Canada,regional
3129,Greenland,regional
3129,Mexico,regional
3129,United States of America,regional
3138,Ethiopia,regional
3153,Australia,regional
3154,Costa Rica,regional
3157,Italy,regional
3159,France,regional
3164,Brazil,regional
3168,France,regional
3169,France,regional
3194,Italy,regional
3227,Germany,regional
3233,Baltic Sea,regional
3235,Taiwan,regional
3249,Portugal,regional
3249,Spain,regional
3249,Italy,regional
3249,Albania,regional
3249,Greece,regional
3249,Macedonia,regional
3249,Republic of Serbia,regional
3249,Montenegro,regional
3249,Bosnia and Herzegovina,regional
3249,Croatia,regional
3249,Slovenia,regional
3249,Ireland,regional
3249,United Kingdom,regional
3249,France,regional
3249,Switzerland,regional
3249,Belgium,regional
3249,Netherlands,regional
3249,Germany,regional
3249,Luxembourg,regional
3249,Czech Republic,regional
3249,Austria,regional
3249,Hungary,regional
3249,Denmark,regional
3249,Norway,regional
3249,Sweden,regional
3249,Finland,regional
3249,Bulgaria,regional
3249,Turkey,regional
3249,Romania,regional
3249,Moldova,regional
3249,Slovakia,regional
3249,Ukraine,regional
3249,Poland,regional
3249,Belarus,regional
3249,Lithuania,regional
3249,Latvia,regional
3249,Estonia,regional
3249,Russia,regional
3257,Spain,regional
3260,United Kingdom,regional
3284,Atlantic sea,regional
3285,El Salvador,regional
3294,Colombia,regional
3294,Ecuador,regional
3299,Australia,regional
3301,Brazil,regional
3337,Brazil,regional
3349,United States of America,regional
3358,United Kingdom,regional
3361,United States of America,regional
3382,Italy,regional
3396,Brazil,regional
3416,South Africa,regional
3422,Portugal,regional
3422,Spain,regional
3434,Italy,regional
3442,Portugal,regional
3449,Costa Rica,regional
3974,United States of America,regional
3975,Europe,regional
3976,France,regional
3988,French Polynesia,regional
4010,Brazil,regional
4010,Saint Helena,regional
4010,Argentina,regional
4010,Angola,regional
4010,Italy,regional
4010,Spain,regional
4010,Cuba,regional
4010,Cape Verde,regional
4010,Sao Tome and Principe,regional
4010,Senegal,regional
4010,Niger,regional
4010,Bermuda,regional
4010,South Africa,regional
4010,Venezuela,regional
4032,United Kingdom,regional
4042,Canada,regional
4058,Finland,regional
4065,France,regional
4078,Bolivia,regional
4079,United States of America,regional
4088,Australia,regional
4165,Ireland,regional
4165,United Kingdom,regional
4165,Spain,regional
4165,Portugal,regional
4165,France,regional
4165,Switzerland,regional
4165,Czech Republic,regional
4165,Germany,regional
4165,Slovakia,regional
4165,Poland,regional
4179,Finland,regional
4187,France,regional
4219,France,regional
4225,United Kingdom,regional
4233,Europe,regional
4251,Paraguay,regional
4252,Curacao,regional
4266,France,regional
4367,France,regional
4404,France,regional
4448,Poland,regional
4448,Russia,regional
4448,Lithuania,regional
4448,Finland,regional
4448,Norway,regional
4448,Sweden,regional
4781,Australia,regional
5079,Colombia,regional
5085,Hungary,regional
5087,France,regional
5088,South Africa,regional
5095,France,regional
5580,Guatemala,regional
5607,Brazil,regional
5640,Belgium,regional
5640,France,regional
5640,Germany,regional
5640,Luxembourg,regional
5640,Slovakia,regional
5640,Sweden,regional
5640,Switzerland,regional
5640,Ukraine,regional
5732,New Zealand,regional
5741,Mexico,regional
5753,Arctic Ocean,regional
5823,France,regional
5871,Mexico,regional
5931,United States of America,regional
6180,North Atlantic,regional
6498,Netherlands,regional
6505,Argentina,regional
6505,Chile,regional
6525,Mediterranean Sea,regional
6525,Red Sea,regional
6578,Brazil,regional
6603,Mexico,regional
6603,Ecuador,regional
6603,Colombia,regional
6603,Venezuela,regional
6603,Peru,regional
6603,Guyana,regional
6603,Suriname,regional
6603,Bolivia,regional
6603,Chile,regional
6603,Argentina,regional
6603,Paraguay,regional
6603,Uruguay,regional
6603,Brazil,regional
6605,Mexico,regional
6612,China,regional
6621,Argentina,regional
6631,United States of America,regional
6662,Brazil,regional
6697,Mexico,regional
6698,Brazil,regional
6727,Brazil,regional
6728,Mexico,regional
6735,Norway,regional
6741,France,regional
6750,South Africa,regional
6778,Romania,regional
6778,Romania,regional
6804,United States of America,regional
6804,Mexico,regional
6823,United States of America,regional
6838,Brazil,regional
6861,Iran,regional
6876,Northeast Pacific,regional
6930,Canada,regional
6942,Spain,regional
6967,Switzerland,regional
6984,Sri Lanka,regional
7041,Norway,regional
7049,Italy,regional
7050,China,regional
7051,China,regional
7054,Poland,regional
7057,Canada,regional
7060,Mediterranean Sea,regional
7060,North Sea,regional
7061,France,regional
7064,France,regional
7064,Switzerland,regional
7064,Portugal,regional
7065,Morocco,regional
7067,Italy,regional
7071,Brazil,regional
7076,Russia,regional
7092,India,regional
7115,Guyana,regional
7128,New Zealand,regional
7137,Brazil,regional
7138,Russia,regional
7144,Albania,regional
7148,China,regional
7153,Sweden,regional
7169,Italy,regional
7180,United States of America,regional
7182,United States of America,regional
7189,Switzerland,regional
7191,China,regional
7207,Brazil,regional
7223,Argentina,regional
7231,Brazil,regional
7246,China,regional
7255,Brazil,regional
7256,Italy,regional
7259,Australia,regional
7264,India,regional
7285,Brazil,regional
7289,Brazil,regional
7305,Netherlands,regional
7307,Russia,regional
7309,France,regional
7322,China,regional
7323,Australia,regional
7380,Slovenia,regional
7380,Italy,regional
7393,United States of America,regional
7454,Baltic Sea,regional
7462,Brazil,regional
1392,United States of America,regional
172,Colombia,regional
1801,French Polynesia,regional
2357,Madagascar,regional
752,United Kingdom,regional
830,United States of America,regional
905,Saudi Arabia,regional
2963,France,regional
2641,South America,regional
2458,United States of America,regional
140,Poland,regional
1479,China,regional
861,Atlantic Ocean,regional
1602,United States of America,regional
761,Albania,regional
624,Albania,regional
3154,Argentina,regional
3154,Bolivia,regional
3154,Brazil,regional
3154,Chile,regional
