code,where,scale,lat_GD,long_GD
6918,Malaysia,local,,
6964,United Kingdom,local,,
7003,China,local,,
7010,Belgium,local,,
7043,Germany,local,,
7048,China,local,,
7056,United Kingdom,local,41.52,123.37
7059,Argentina,local,,
7069,Brazil,local,39,
7084,Peru,local,,
7085,Colombia,local,,
7113,Brazil,local,-53.66666667,-62
7114,China,local,,
7139,Ireland,local,,
7140,South Africa,local,-12.89,-69.71
7141,Canada,local,,
7143,Belgium,local,,
7149,China,local,,
7150,Brazil,local,,
7197,Finland,local,,
7208,New Zealand,local,,
7219,Portugal,local,,
7245,Germany,local,,
7251,Brazil,local,,
7253,China,local,,
7263,United States of America,local,,
7271,Italy,local,,
7276,Brazil,local,,
7279,Venezuela,local,,
7286,Poland,local,,
7288,Colombia,local,,
7290,Brazil,local,,
7308,Portugal,local,,
7312,Poland,local,,
7339,Brazil,local,,
7377,Brazil,local,,
7443,China,local,,
7446,Mexico,local,40,
1234,Portugal,local,,
1440,France,local,,
6757,Colombia,local,,
7068,Argentina,local,,
7458,Poland,local,,
7214,Brazil,local,,
2358,Namibia,local,,
252,Mexico,local,,
1233,Brazil,local,,
1961,Brazil,local,,
560,United Kingdom,local,,
649,Mexico,local,,
674,Mozambique,local,,
2866,Spain,local,,
714,Brazil,local,,
4218,United States of America,local,,
2657,Peru,local,,
